sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$varBP:FLOAT64,sncb_stream$varFF:FLOAT64,sncb_stream$cnt:UINT64
1722589000,1722599000,5.062,5.04,2030
1722589200,1722599200,5.062,5.04,2023
1722589400,1722599400,5.062,5.04,2014
1722589600,1722599600,5.062,5.04,2013
1722589800,1722599800,5.062,5.04,2010
1722590000,1722600000,5.062,5.04,2000
1722590200,1722600200,5.062,5.04,1995
1722590400,1722600400,5.062,5.04,1986
1722590600,1722600600,5.062,5.04,1971
1722590800,1722600800,5.062,5.04,1973
1722591000,1722601000,5.062,5.04,1975
1722591200,1722601200,5.062,5.051,1967
1722591400,1722601400,5.062,5.051,1953
1722591600,1722601600,5.062,5.051,1916
1722591800,1722601800,5.062,5.051,1912
1722592000,1722602000,5.062,5.051,1912
1722592200,1722602200,5.062,5.051,1891
1722592400,1722602400,5.062,5.051,1889
1722592600,1722602600,5.062,5.051,1904
1722592800,1722602800,5.062,5.051,1902
1722593000,1722603000,5.062,5.051,1899
1722593200,1722603200,5.062,5.051,1914
1722593400,1722603400,5.062,5.051,1912
1722593600,1722603600,5.062,5.051,1889
1722594000,1722604000,5.062,5.051,1885
1722593800,1722603800,5.062,5.051,1891
1722594200,1722604200,5.058,5.051,1869
1722594400,1722604400,5.058,5.051,1858
1722594600,1722604600,5.058,5.051,1851
1722594800,1722604800,5.058,5.051,1831
1722595000,1722605000,5.058,5.051,1819
1722595200,1722605200,5.058,5.051,1808
1722595400,1722605400,5.058,5.051,1786
1722595600,1722605600,5.058,5.051,1756
1722595800,1722605800,5.366,5.051,1739
1722596000,1722606000,5.366,5.051,1736
1722596200,1722606200,5.366,5.051,1741
1722596400,1722606400,5.366,5.051,1754
1722596600,1722606600,5.366,5.051,1763
1722596800,1722606800,5.366,5.051,1776
1722597000,1722607000,5.366,5.051,1786
1722597200,1722607200,5.366,5.051,1787
1722597400,1722607400,5.366,5.051,1789
1722597600,1722607600,5.366,5.051,1785
1722597800,1722607800,5.366,5.051,1794
1722598000,1722608000,5.366,5.051,1793
1722598200,1722608200,5.366,5.051,1801
1722598400,1722608400,5.366,5.051,1805
1722598600,1722608600,5.366,5.051,1812
1722598800,1722608800,5.366,5.051,1835
1722599000,1722609000,5.366,5.051,1845
1722599200,1722609200,5.366,5.051,1848
1722599400,1722609400,5.366,5.051,1842
1722599600,1722609600,5.366,5.051,1845
1722599800,1722609800,5.366,5.051,1851
1722600000,1722610000,5.366,5.051,1876
1722600200,1722610200,5.366,5.051,1878
1722600400,1722610400,5.366,5.051,1888
1722600600,1722610600,5.366,5.051,1908
1722600800,1722610800,5.366,5.051,1891
1722601000,1722611000,5.366,5.051,1866
1722601200,1722611200,5.366,5.047,1857
1722601400,1722611400,5.366,5.055,1845
1722601600,1722611600,5.366,5.055,1860
1722601800,1722611800,5.366,5.055,1864
1722602000,1722612000,5.366,5.055,1855
1722602200,1722612200,5.366,5.055,1860
1722602400,1722612400,5.366,5.055,1858
1722602600,1722612600,5.366,5.055,1845
1722602800,1722612800,5.366,5.055,1842
1722603000,1722613000,5.366,5.055,1842
1722603200,1722613200,5.366,5.055,1839
1722603400,1722613400,5.366,5.055,1844
1722603600,1722613600,5.366,5.055,1863
1722603800,1722613800,5.366,5.055,1864
1722604000,1722614000,5.366,5.055,1866
1722604200,1722614200,5.366,5.055,1858
1722604400,1722614400,5.366,5.055,1853
1722604600,1722614600,5.366,5.055,1841
1722604800,1722614800,5.366,5.055,1839
1722605000,1722615000,5.366,5.055,1835
1722605200,1722615200,5.366,5.055,1840
1722605400,1722615400,5.366,5.055,1857
1722605600,1722615600,5.366,5.055,1865
1722605800,1722615800,5.366,5.055,1857
1722606000,1722616000,5.066,5.055,1858
1722606200,1722616200,5.066,5.055,1869
1722606400,1722616400,5.066,5.055,1881
1722606600,1722616600,5.066,5.055,1874
1722606800,1722616800,5.066,5.055,1876
1722607000,1722617000,5.066,5.055,1878
1722607200,1722617200,5.066,5.055,1885
1722607400,1722617400,5.066,5.055,1898
1722607600,1722617600,5.062,5.055,1916
1722607800,1722617800,5.062,5.055,1915
1722608000,1722618000,5.062,5.055,1933
1722608400,1722618400,5.058,5.055,1915
1722608200,1722618200,5.058,5.055,1932
1722608800,1722618800,5.058,5.055,1914
1722608600,1722618600,5.058,5.055,1919
1722609000,1722619000,5.058,5.055,1910
1722609200,1722619200,5.058,5.055,1922
1722609400,1722619400,5.058,5.055,1931
1722609600,1722619600,5.058,5.055,1916
1722609800,1722619800,5.058,5.055,1916
1722610000,1722620000,5.058,5.055,1895
